L;d;df;gas;pout;sp;time_unit;;;;;;;;;;;;;;
29.8;2.50E-04;5.00E-07;He;vacuum;Rxi5SilMS;min;;;;;;;;;;;;;;
measurement;T1;t1;RT1;T2;t2;RT2;T3;t3;RT3;T4;t4;RT4;T5;t5;p1;p2;p3;p4;p5;pamb
comp1;40;3;60;300;5;;;;;;;;;;49000;148000;;;;101699
comp2;40;2;27;60;1.5;17;81;1;55;130;2;25;250;5;49000;57000;65400;84000;130000;101710
comp3;60;2;5;75;3;10;95;1;40;250;0;;;;57000;63000;71000;130000;;101727
comp4;30;2;10;80;3;5;110;2;25;200;0;;;;45000;65000;76000;111000;;101740
comp5;120;40;;;;;;;;;;;;;83000;;;;;100970
measurement;2-Octanone;4-Fluoroaniline;2,6-Dimethylphenol;Octan-1-ol;1,3-Dichlorobenzene;Cyclohexanone;4-Methylphenol;Aniline;n-Butylbenzene;Nonan-2-one;1-Phenyl-2-propanol;Hexan-1-ol;;;;;;;;
comp1;5.7702;5.8464;6.2191;6.0454;5.9057;5.4017;6.0708;5.7617;6.0539;6.1217;6.3122;5.2238;;;;;;;;
comp2;8.4043;8.5991;9.9882;9.425;8.7389;7.3625;9.4716;8.3112;9.3572;9.7045;10.3355;6.9687;;;;;;;;
comp3;10.488;10.9369;12.813;12.3386;11.1994;7.1677;12.3725;10.0941;12.1947;12.597;13.0967;6.181;;;;;;;;
comp4;12.5504;13.012;16.7049;15.3878;13.2831;9.3022;15.4598;12.1184;15.0109;16.0824;17.8018;8.4848;;;;;;;;
comp5;3.005;3.2249;4.8342;3.983;3.4282;2.4076;4.038;3.0089;4.0084;4.3599;5.4864;2.1281;;;;;;;;